127041,1029549 1036988 1043117 1049762 1102813 1125933 1153829 1180037 1209241 1243395 1362019 1413702 1427929 1448998 1462317 1483588 1499908 1518572 1538063 1552448 1562814 1574970 1587819 1610784 1623522 1641959 1655046 1666928 1684558 1698366 1709401 1730726 1745425 1745452 1745458,2012-07-18,2013-04-05, arthur arthurian dragon excaliber gold guinevere knights legend merlin quest,Merlin's Gold
143799,1069480 1083624 1091354 1097926 1109785 1113154 1120863 1127561 1135541 1151219 1167368 1178668 1191343 1199046 1211646 1228701 1250976 1263690 1273038 1282468 1302942 1312795 1317884 1331699 1346418 1355153 1374229 1378239 1387891 1396393 1411535 1416008 1480126 1486478 1498006 1513812 1564940 1583183 1614069 1644964 1671099 1734080 1786445 1877988 1916880 2034078 2123722 2319141 2547240,2012-02-14,2014-05-03, cheating humour player shy spy,The Shy Girl Has a Gun
144090,1070085 1070223 1070228 1077966 1086383 1103116 1122619 1145360 1149430 1188775 1222326 1265931 1334675 1472718 1672926 1684370 1765352 1772143 1827655 1872355 1879886 1913020 1926297 1926791,2011-09-04,2014-04-25,wattpadprize14,THE SECRET IS OUT!
144793,1071493 1073405 1076287 1080140 1095292 1110717 1126805 1146952 1166146 1177997 1205009 1224982 1256769 1317394 1356103 1379720 1469963 1508071 1762808 1810539 1887906 1970315 2104294 2190488 2235431 2320563 13717143,2011-10-05,2014-04-06,abduction series,The Next Stop
154785,1095030 1113760 1113765 1113770 1113774 1113780 1113800 1113810 1113815 1113822 1113831 1113847 1113855 1113859 1113865 1113872 1113880 1113882 1113885 1113889 1113892 1113893 1113898 1113901 1113904 1113910 1113918 1113923 1113937 1113939 1113965 1113974 1326974 1474198 1497152 2231818 2231827 2258341 2301628 2301635 2301640 2301645 2301648 2301657 2301663 2301669 2301682 2301688 2301715 2301722 2301765 2302108 2452471 3008774 5485943 7877659 9575893,2012-07-19,2014-04-15,cancer divorce fiction hospital love mysisterskeeper pain shelfunbound teen,From The Start
173326,1140720 1141682 1141687 1145491 1156159 1171204 1192012 1217572 1255960 1288350 1299502 1334252 1362060 1428510 1470067 1510982 1636009 1798016 1984317 2063251 2178303 2557867 2805224 3458784 3731659 3873665 4261102 4908438 6972689 9786324 9786417 9786546 9786672 9786760 9786906 9787429,2012-06-01,2013-05-15, chapter death fiction non-teen notes reluctant action drama fate mage magic philosophy religion sentogray witch wizard,Reluctant Death
4160656,12119689 12144836 12145684 12182163 12183593 12349002 12349023 12433481 12602634 12699435 12666667 12745783 12795970 12785757 12795822 25848741 26533612 26739767 25731115 26891460 26891862 26891962 26899764 26906400 26913094 26914464 27315663 28020375 28809424 29657639 29913473 29914149 30190900 32976995 40850289 40852653 40865056 41913376 41919914 41920206 43256580 43569573 44061392 44156873 44201217 44332898 44336158 44340046 44412064 44342381 44346386 44348515 44394253,2013-02-10,2014-04-25,holocaust jews nazi worldwar2,My Untold Story
4162692,12125898 12152998 12300869 13918010 14869793 16267462 17516604 17871422 20816049 22498439 23715226 24281418 27160538 30306255 35739934 46791670 47674588 48831593,2013-02-10,2014-05-05,alpha beta boyxboy mate mates mpreg omega pack,My Little Omega Mate (BOYXBOY)
198773,1203583 1203594 1203925 1929095 1990672 2013027 2096967 2133735 2139384 2184290 2218029 2272611 2285592 2369230 2400595 2432814 2483281 2831984 3287325 3469572 3946888 4060411 4601698 4708187 5057963 5061199 5099025 5254948 5789209 6101907 7840199 11374708 12797123 13101497 13134025 13226118 14444465 21556095 24665639 26150685,2012-03-18,2014-05-10,amazon arrow bow claymore dragon druid elf elves mage magic nacropis ranzak sirsearon sorceress sword wizard,The Obsidian Arrow
4166314,12179977 12136862 12582932,2013-02-11,2014-05-15,,Within the Field
